,Train,valid,Test
5,"[32, 3, 10, 12, 29, 11, 31, 5, 19, 14, 13, 38, 39, 17, 27, 41, 7, 21, 9, 37, 26, 6, 48, 43, 25, 42, 33, 28, 49, 4, 46, 34, 16, 2, 36, 45, 35, 23, 1, 47]","[24, 30, 22, 44, 20, 15, 8, 40, 50]",[18]
1,"[17, 31, 45, 32, 35, 43, 8, 37, 41, 6, 36, 1, 42, 50, 38, 23, 4, 48, 11, 26, 39, 22, 5, 40, 44, 25, 24, 34, 2, 9, 13, 15, 7, 30, 20, 10, 3, 12, 16]","[18, 27, 14, 21, 29, 47, 28, 33, 49, 46]",[19]
2,"[18, 10, 20, 27, 11, 38, 34, 2, 40, 15, 41, 39, 12, 29, 26, 44, 14, 22, 1, 46, 23, 3, 47, 50, 31, 33, 35, 25, 8, 45, 21, 49, 37, 30, 6, 24, 32, 28, 17]","[9, 36, 43, 13, 16, 5, 48, 7, 4, 42]",[19]
3,"[8, 42, 46, 37, 13, 7, 9, 3, 5, 36, 40, 48, 27, 23, 44, 29, 30, 28, 41, 14, 15, 22, 24, 16, 47, 18, 20, 11, 38, 21, 33, 12, 39, 2, 4, 50, 43, 25, 49]","[35, 31, 10, 45, 17, 32, 1, 6, 34, 26]",[19]
4,"[36, 10, 28, 1, 16, 43, 35, 26, 15, 24, 17, 42, 45, 33, 5, 32, 22, 21, 27, 48, 34, 46, 29, 8, 20, 7, 4, 18, 31, 40, 49, 44, 6, 13, 14, 30, 47, 50, 9]","[38, 25, 39, 23, 41, 11, 37, 2, 12, 3]",[19]
5,"[45, 16, 14, 9, 2, 23, 48, 32, 31, 29, 12, 49, 27, 3, 36, 47, 11, 43, 37, 6, 42, 26, 4, 10, 1, 7, 17, 35, 46, 39, 25, 13, 38, 18, 34, 41, 5, 28, 21, 33]","[22, 50, 40, 44, 24, 20, 15, 30, 8]",[19]
1,"[35, 17, 39, 1, 4, 22, 3, 31, 48, 25, 41, 6, 16, 12, 24, 7, 5, 10, 13, 30, 26, 45, 42, 36, 37, 38, 2, 19, 44, 8, 9, 43, 34, 15, 32, 23, 50, 11, 40]","[29, 28, 27, 18, 33, 21, 46, 47, 14, 49]",[20]
2,"[35, 17, 12, 8, 26, 39, 18, 10, 6, 37, 2, 1, 49, 19, 31, 29, 46, 30, 28, 22, 38, 50, 3, 34, 11, 45, 24, 27, 40, 21, 14, 41, 25, 47, 32, 23, 44, 15, 33]","[4, 48, 42, 7, 16, 5, 43, 36, 9, 13]",[20]
3,"[38, 2, 29, 40, 30, 5, 48, 28, 27, 14, 9, 24, 42, 41, 47, 11, 33, 18, 46, 49, 37, 7, 15, 13, 3, 21, 8, 36, 39, 25, 4, 50, 19, 16, 23, 22, 44, 12, 43]","[45, 35, 32, 1, 34, 10, 26, 31, 17, 6]",[20]
4,"[32, 47, 7, 10, 26, 19, 1, 27, 33, 44, 43, 35, 14, 28, 16, 40, 21, 8, 18, 31, 46, 34, 48, 45, 24, 22, 4, 42, 6, 36, 49, 50, 29, 15, 5, 13, 30, 9, 17]","[2, 39, 41, 25, 23, 37, 3, 38, 12, 11]",[20]
5,"[4, 47, 35, 39, 29, 41, 1, 9, 32, 7, 48, 21, 2, 11, 27, 6, 49, 34, 25, 28, 3, 12, 43, 13, 16, 14, 38, 10, 37, 23, 31, 17, 36, 45, 46, 5, 42, 33, 26, 18]","[19, 8, 22, 15, 40, 50, 44, 30, 24]",[20]
1,"[6, 4, 31, 26, 40, 3, 22, 7, 25, 10, 5, 19, 43, 48, 16, 17, 42, 11, 44, 38, 24, 15, 13, 35, 9, 34, 1, 32, 2, 23, 41, 12, 50, 37, 30, 39, 8, 36, 45]","[28, 46, 29, 18, 14, 33, 20, 27, 47, 49]",[21]
2,"[27, 30, 38, 8, 19, 3, 2, 24, 49, 23, 1, 20, 31, 14, 32, 41, 17, 28, 6, 39, 34, 29, 18, 11, 25, 22, 35, 40, 15, 46, 50, 37, 47, 44, 33, 10, 45, 12, 26]","[42, 7, 5, 48, 43, 36, 9, 13, 4, 16]",[21]
3,"[22, 42, 28, 50, 8, 49, 36, 7, 25, 2, 46, 38, 12, 41, 4, 37, 18, 13, 3, 24, 44, 19, 15, 47, 43, 39, 33, 40, 14, 29, 5, 16, 27, 11, 30, 9, 23, 20, 48]","[17, 26, 6, 1, 10, 34, 35, 45, 32, 31]",[21]
4,"[32, 22, 26, 27, 6, 13, 45, 4, 47, 18, 42, 43, 24, 16, 28, 33, 49, 1, 19, 30, 44, 14, 34, 15, 7, 5, 31, 50, 48, 8, 9, 10, 35, 46, 17, 40, 20, 36, 29]","[3, 12, 37, 39, 2, 11, 23, 25, 41, 38]",[21]
5,"[49, 45, 28, 18, 35, 26, 38, 11, 9, 14, 27, 36, 1, 20, 16, 5, 7, 32, 47, 3, 33, 4, 12, 46, 41, 43, 23, 48, 6, 42, 25, 2, 34, 31, 17, 37, 13, 29, 10, 39]","[15, 44, 24, 19, 30, 22, 8, 40, 50]",[21]
1,"[41, 6, 31, 1, 4, 9, 24, 44, 43, 48, 42, 50, 25, 8, 23, 3, 38, 30, 16, 39, 19, 36, 10, 32, 7, 17, 40, 15, 13, 2, 5, 37, 34, 12, 11, 26, 21, 45, 35]","[18, 28, 20, 14, 47, 46, 49, 33, 29, 27]",[22]
2,"[35, 40, 38, 24, 6, 30, 39, 37, 26, 19, 8, 14, 27, 12, 25, 17, 3, 45, 11, 1, 28, 21, 46, 29, 41, 20, 15, 32, 31, 18, 49, 2, 34, 23, 50, 10, 44, 33, 47]","[4, 9, 16, 5, 13, 42, 43, 36, 48, 7]",[22]
3,"[3, 27, 28, 38, 5, 4, 37, 16, 2, 7, 30, 20, 12, 19, 44, 50, 41, 14, 36, 47, 33, 18, 9, 15, 11, 29, 39, 8, 46, 24, 25, 40, 23, 49, 13, 42, 43, 21, 48]","[1, 17, 35, 10, 26, 32, 31, 45, 34, 6]",[22]
4,"[31, 10, 13, 29, 28, 34, 30, 50, 43, 1, 35, 9, 4, 18, 5, 27, 46, 32, 47, 40, 26, 8, 19, 36, 33, 7, 49, 15, 24, 45, 21, 20, 6, 48, 14, 44, 17, 16, 42]","[12, 25, 11, 38, 41, 39, 3, 2, 23, 37]",[22]
5,"[27, 12, 41, 46, 1, 20, 28, 9, 45, 17, 32, 25, 36, 6, 39, 18, 31, 47, 43, 48, 13, 26, 33, 7, 29, 11, 42, 34, 3, 23, 37, 35, 5, 4, 14, 10, 49, 2, 16, 38]","[50, 15, 30, 21, 19, 24, 44, 8, 40]",[22]
1,"[1, 2, 3, 30, 32, 40, 21, 38, 8, 17, 39, 48, 42, 9, 36, 50, 26, 41, 12, 5, 24, 37, 16, 6, 25, 44, 11, 22, 35, 19, 7, 10, 43, 15, 34, 13, 45, 4, 31]","[29, 47, 27, 14, 18, 46, 49, 33, 20, 28]",[23]
2,"[22, 2, 38, 32, 30, 46, 25, 47, 12, 1, 15, 37, 18, 11, 40, 31, 49, 50, 33, 39, 6, 21, 10, 45, 8, 19, 24, 44, 3, 20, 28, 35, 14, 34, 27, 26, 41, 17, 29]","[48, 16, 43, 4, 9, 7, 36, 42, 13, 5]",[23]
3,"[15, 48, 36, 40, 16, 27, 37, 22, 12, 3, 11, 42, 14, 5, 13, 44, 19, 38, 7, 24, 28, 33, 50, 8, 39, 49, 25, 41, 46, 47, 30, 43, 20, 2, 9, 18, 21, 29, 4]","[26, 34, 6, 35, 32, 17, 31, 45, 10, 1]",[23]
4,"[45, 1, 31, 6, 9, 47, 27, 13, 48, 17, 4, 42, 18, 49, 10, 26, 46, 35, 21, 14, 29, 15, 28, 44, 32, 33, 43, 36, 34, 16, 19, 5, 40, 7, 20, 8, 50, 24, 30]","[12, 39, 3, 22, 38, 2, 41, 25, 11, 37]",[23]
5,"[9, 28, 38, 29, 34, 16, 45, 43, 37, 31, 22, 36, 13, 46, 12, 47, 32, 20, 10, 39, 17, 48, 27, 3, 41, 14, 5, 25, 7, 18, 4, 1, 49, 2, 33, 26, 42, 6, 11, 35]","[30, 40, 19, 8, 21, 50, 44, 24, 15]",[23]
1,"[43, 26, 10, 8, 22, 1, 44, 37, 39, 23, 4, 45, 48, 35, 13, 34, 11, 40, 25, 3, 7, 12, 2, 36, 42, 41, 19, 17, 6, 30, 32, 31, 21, 15, 9, 50, 38, 16, 5]","[47, 28, 20, 33, 27, 49, 18, 29, 46, 14]",[24]
2,"[6, 23, 11, 44, 49, 41, 2, 30, 19, 14, 29, 50, 25, 8, 35, 22, 32, 28, 12, 1, 34, 33, 46, 38, 47, 10, 15, 31, 21, 18, 39, 20, 40, 26, 27, 17, 37, 45, 3]","[42, 4, 16, 43, 13, 7, 5, 48, 36, 9]",[24]
3,"[44, 2, 18, 39, 29, 9, 22, 3, 33, 16, 47, 46, 37, 19, 14, 38, 40, 15, 5, 20, 30, 4, 42, 25, 8, 23, 21, 7, 11, 12, 36, 27, 13, 43, 50, 49, 48, 41, 28]","[34, 45, 17, 10, 31, 35, 6, 26, 1, 32]",[24]
4,"[1, 33, 30, 16, 44, 5, 15, 34, 21, 50, 6, 8, 29, 40, 46, 28, 4, 42, 9, 13, 18, 45, 26, 35, 49, 47, 43, 20, 17, 19, 32, 14, 10, 23, 48, 7, 31, 36, 27]","[41, 39, 3, 2, 22, 25, 37, 11, 38, 12]",[24]
5,"[32, 26, 10, 48, 45, 29, 6, 20, 41, 16, 12, 28, 17, 5, 7, 3, 2, 11, 27, 25, 47, 37, 36, 13, 18, 49, 34, 46, 9, 31, 42, 39, 33, 4, 22, 14, 38, 43, 35, 1]","[19, 15, 21, 23, 8, 40, 50, 30, 44]",[24]
1,"[24, 41, 45, 4, 39, 1, 34, 21, 9, 36, 16, 8, 35, 38, 17, 50, 5, 12, 48, 44, 42, 13, 30, 15, 40, 2, 3, 26, 31, 32, 43, 37, 19, 10, 22, 23, 6, 11, 7]","[49, 18, 28, 27, 20, 47, 33, 14, 29, 46]",[25]
2,"[14, 23, 38, 50, 1, 47, 18, 19, 35, 46, 20, 12, 41, 37, 27, 3, 24, 2, 40, 22, 6, 11, 21, 39, 29, 32, 30, 10, 45, 44, 17, 31, 34, 15, 8, 28, 26, 49, 33]","[4, 48, 42, 5, 13, 16, 36, 9, 43, 7]",[25]
3,"[40, 5, 50, 11, 13, 4, 33, 24, 15, 28, 18, 46, 49, 27, 43, 38, 2, 47, 16, 22, 21, 12, 36, 30, 48, 14, 42, 39, 20, 29, 41, 37, 3, 23, 9, 19, 44, 8, 7]","[10, 1, 17, 32, 6, 35, 45, 34, 26, 31]",[25]
4,"[44, 28, 18, 46, 14, 43, 17, 34, 1, 32, 4, 31, 45, 7, 19, 30, 48, 23, 33, 10, 13, 6, 35, 16, 27, 21, 40, 9, 36, 20, 15, 49, 26, 42, 8, 5, 29, 50, 47]","[22, 39, 3, 41, 37, 11, 2, 12, 24, 38]",[25]
5,"[31, 36, 9, 4, 6, 27, 22, 1, 49, 11, 10, 38, 17, 28, 45, 41, 14, 35, 46, 42, 37, 33, 43, 12, 2, 18, 5, 26, 3, 32, 39, 20, 24, 29, 16, 34, 47, 7, 13, 48]","[23, 40, 30, 19, 21, 15, 8, 44, 50]",[25]
